OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,12041,jack pine budworm,Choristoneura pinus,Defoliators
-1,12042,Modoc budworm,Choristoneura retiniana,Defoliators
-1,12043,aspen leaf beetle,Chrysomela crotchi,Defoliators
-1,12044,cottonwood leaf beetle,Chrysomela scripta,Defoliators
-1,12045,leafhopper,<Cicadellidae>,Defoliators
-1,12046,poplar tentmaker,Clostera inclusa,Defoliators
-1,12047,larch casebearer,Coleophora laricella,Defoliators
-1,12048,birch casebearer,Coleophora serratella,Defoliators
-1,12049,lodgepole needleminer,Coleotechnites milleri,Defoliators
-1,12050,Gelechiid moths/needleminers,Coleotechnites spp.,Defoliators
-1,12051,Black Hills pandora moth,Coloradia doris,Defoliators
-1,12052,pandora moth,Coloradia pandora,Defoliators
-1,12053,sycamore lace bug,Corythucha ciliata,Defoliators
-1,12054,lace bugs,Corythucha spp.,Defoliators
-1,12055,oak leaftier,Croesia semipurpurana,Defoliators
-1,12056,dusky birch sawfly,Croesus latitarsus,Defoliators
-1,12057,walnut caterpillar,Datana integerrima,Defoliators
-1,12058,yellownecked caterpillar,Datana ministra,Defoliators
-1,12059,walkingstick,Diapheromera femorata,Defoliators
-1,12061,introduced pine sawfly,Diprion similis,Defoliators
-1,12062,greenstriped mapleworm,Dryocampa rubicunda,Defoliators
-1,12064,elm spanworm,Ennomos subsignaria,Defoliators
-1,12065,maple trumpet skeletonizer,Epinotia aceriella,Defoliators
-1,12066,white fir needleminer,Epinotia meritana,Defoliators
-1,12067,linden looper,Erannis tiliaria,Defoliators
-1,12068,browntail moth,Euproctis chrysorrhoea,Defoliators
-1,12069,pine needleminer,Exoteleia pinifoliella,Defoliators
-1,12070,birch leafminer,Fenusa pusilla,Defoliators
-1,12071,elm leafminer,Kaliofenusa ulmi,Defoliators
-1,12072,geometrid moth,<Geometridae>,Defoliators
-1,12073,leafblotch miner,<Gracillariidae>,Defoliators
-1,12074,spotted tussock moth,Lophocampa maculata,Defoliators
-1,12075,pale tussock moth,Lophocampa tessellaris,Defoliators
-1,12076,hesperiid moth,Hasora chromus,Defoliators
-1,12077,brown day moth,Hemileuca eglanterina,Defoliators
-1,12078,buck moth,Hemileuca maia,Defoliators
-1,12079,saddled prominent,Heterocampa guttivitta,Defoliators
-1,12080,variable oakleaf caterpillar,Lochmaeus manteo,Defoliators
-1,12081,cherry scallop shell moth,Hydria prunivorata,Defoliators
-1,12082,fall webworm,Hyphantria cunea,Defoliators
-1,12083,hemlock looper,Lambdina fiscellaria,Defoliators
-1,12084,oak looper,Lambdina punctata,Defoliators
-1,12085,tent caterpillar moth,<Lasiocampidae>,Defoliators
-1,12086,satin moth,Leucoma salicis,Defoliators
-1,12087,willow leafblotch miner,Lithocolletis spp.,Defoliators
-1,12088,aspen blotchminer,Phyllonorycter tremuloidiella,Defoliators
-1,12089,gypsy moth,Lymantria dispar,Defoliators
-1,12090,cottonwood leafminers,Lyonetia spp.,Defoliators
-1,12091,dogwood sawfly,Macremphytus tarsatus,Defoliators
-1,12092,rose chafer,Macrodactylus subspinosus,Defoliators
-1,12093,eastern tent caterpillar,Malacosoma americanum,Defoliators
-1,12094,western tent caterpillar,Malacosoma californicum,Defoliators
-1,12095,Pacific tent caterpillar,Malacosoma constrictum,Defoliators
-1,12096,forest tent caterpillar,Malacosoma disstria,Defoliators
-1,12097,southwestern tent caterpillar,Malacosoma incurvum,Defoliators
-1,12098,leafcutting bees,<Megachilidae>,Defoliators
-1,12100,early birch leaf edgeminer,Messa nana,Defoliators
-1,12101,juniper sawfly,Monoctenus fulvus,Defoliators
-1,12102,common sawflies,Nematus spp.,Defoliators
-1,12103,balsam fir sawfly,Neodiprion abietis,Defoliators
-1,12104,lodgepole sawfly,Neodiprion burkei,Defoliators
-1,12105,blackheaded pine sawfly,Neodiprion excitans,Defoliators
-1,12106,pine infesting sawflies,Neodiprion fulviceps sp. complex,Defoliators
-1,12107,redheaded pine sawfly,Neodiprion lecontei,Defoliators
-1,12109,ponderosa pine sawfly,Neodiprion mundus,Defoliators
-1,12110,white pine sawfly,Neodiprion pinetum,Defoliators
-1,12111,jack pine sawfly,Neodiprion pratti banksianae,Defoliators
-1,12112,Virginia pine sawfly,Neodiprion pratti pratti,Defoliators
-1,12113,European pine sawfly,Neodiprion sertifer,Defoliators
-1,12114,loblolly pine sawfly,Neodiprion taedae linearis,Defoliators
-1,12115,hemlock sawfly,Neodiprion tsugae,Defoliators
-1,12116,pine butterfly,Neophasia menapia,Defoliators
-1,12117,false hemlock looper,Nepytia canosaria,Defoliators
-1,12119,locust leafminer,Odontota dorsalis,Defoliators
-1,12120,Bruce spanworm,Operophtera bruceata,Defoliators
-1,12121,rusty tussock moth,Orgyia antiqua,Defoliators
-1,12122,whitemarked tussock moth,Orgyia leucostigma,Defoliators
-1,12123,Douglas-fir tussock moth,Orgyia pseudotsugata,Defoliators
-1,12124,western tussock moth,Orgyia vetusta,Defoliators
-1,12125,spring cankerworm,Paleacrita vernata,Defoliators
-1,12126,black citrus swallowtail butterfly,Papilio polytes,Defoliators
-1,12127,maple leafcutter,Paraclemensia acerifoliella,Defoliators
-1,12128,pine tussock moth,Dasychira pinicola,Defoliators
-1,12129,poinciana looper,Pericyma cruegeri,Defoliators
-1,12130,half-wing geometer,Phigalia titea,Defoliators
-1,12131,Phoberia moth,Phoberia atomaris,Defoliators
-1,12132,California oakworm,Phryganidia californica,Defoliators
-1,12133,European snout beetle,Phyllobius oblongus,Defoliators
-1,12134,citrus leafminer,Phyllocnistis citrella,Defoliators
-1,12135,aspen leafminer,Phyllocnistis populiella,Defoliators
-1,12136,yellowheaded spruce sawfly,Pikonema alaskensis,Defoliators
-1,12137,tenlined June beetle,Polyphylla decemlineata,Defoliators
-1,12138,Japanese beetle,Popillia japonica,Defoliators
-1,12139,larch sawfly,Pristiphora erichsonii,Defoliators
-1,12140,mountain-ash sawfly,Pristiphora geniculata,Defoliators
-1,12141,elm leaf beetle,Xanthogaleruca luteola,Defoliators
-1,12142,spear-marked black moth,Rheumaptera hastata,Defoliators
-1,12143,giant silkworm moth,<Saturniidae>,Defoliators
-1,12144,redhumped caterpillar,Schizura concinna,Defoliators
-1,12145,redbanded thrips,Selenothrips rubrocinctus,Defoliators
-1,12146,green larch looper,Semiothisa sexmaculata,Defoliators
-1,12147,maple leafroller,Sparganothis acerivorana,Defoliators
-1,12148,redhumped oakworm,Symmerista canicosta,Defoliators
-1,12149,orangehumped mapleworm,Symmerista leucitys,Defoliators
-1,12150,spruce needleminer,Taniva albolineana,Defoliators
-1,12151,maple webworm,Tetralopha asperatella,Defoliators
-1,12152,pine webworm,Pococera robustella,Defoliators
-1,12153,introduced basswood thrips,Thrips calcaratus,Defoliators
-1,12154,bagworm,Thyridopteryx ephemeraeformis,Defoliators
-1,12155,leafroller/seed moth,<Tortricidae> [leafroller / seed moth],Defoliators
-1,12156,willow defoliation,"<Tortricidae> [willow defoliation]
",Defoliators
-1,12157,euonymus caterpillar,Yponomeuta spp.,Defoliators
-1,12158,spruce bud moth,Zeiraphera canadensis,Defoliators
-1,12159,larch bud moth,Zeiraphera improbana,Defoliators
-1,12160,pine needle sheathminer,Zelleria haimbachi,Defoliators
-1,12161,cypress looper,Anacamptodes pergracilis,Defoliators
-1,12162,Chrysomela leaf beetle,Chrysomela spp.,Defoliators
-1,12163,pine colaspis,Colaspis pini,Defoliators
-1,12164,saddleback looper,Ectropis crepuscularia,Defoliators
-1,12165,birch leafroller,Epinotia solandriana,Defoliators
-1,12166,New Mexico fir looper,Galenara consimilis,Defoliators
-1,12167,striped alder sawfly,Hemichroa crocea,Defoliators
